cgpa,coding_score,dsa_score,projects_count,project_complexity,internships,communication_score,mock_interview_score,resume_score,certifications,aptitude_score,technical_score,skill_match_score,ats_score,github_score,backlogs,college_tier,placement_ready
10.0,67,77,2,High,0,32,49,47,3,66,60,60,44,46,2,2,1
6.22,38,22,3,Medium,1,61,49,49,3,44,26,18,36,14,2,2,0
9.83,81,37,2,High,1,31,36,53,2,72,69,94,50,17,1,2,1
9.72,88,78,1,Low,0,93,64,55,2,68,73,55,37,61,0,3,1
7.94,51,19,5,Medium,0,55,47,75,0,51,25,22,49,27,0,2,0
6.12,39,25,0,Medium,1,37,27,83,4,33,31,40,64,26,0,3,0
7.37,60,43,4,Medium,0,52,45,78,1,42,49,46,38,4,2,2,1
6.7,45,35,1,Medium,1,65,32,33,1,30,37,21,22,18,0,3,0
7.25,51,51,5,High,1,75,63,75,3,52,44,71,82,40,0,3,1
8.57,70,43,2,Low,0,85,69,49,2,47,39,59,51,79,0,3,1
8.78,39,28,3,High,2,63,54,78,4,52,27,28,67,19,1,2,1
6.43,64,49,5,Medium,0,55,55,64,1,45,33,76,53,67,2,2,0
8.79,63,51,1,Low,1,74,39,76,1,71,64,61,56,53,1,2,1
7.98,52,42,3,High,2,73,41,67,4,66,49,40,60,35,1,3,1
9.2,64,56,1,Medium,3,64,41,67,4,60,54,81,69,18,1,1,1
8.53,60,59,3,High,1,76,48,95,5,72,36,49,66,16,2,2,1
6.14,26,29,0,Low,1,51,43,34,1,21,23,31,18,27,0,1,0
8.97,81,68,4,Medium,0,61,38,58,0,82,77,54,61,38,0,2,1
6.37,48,14,1,Low,1,25,24,72,4,55,23,31,75,16,0,3,0
5.68,49,40,3,High,1,87,45,69,2,44,36,29,32,25,1,2,0
7.35,65,57,2,Medium,1,53,31,56,1,41,30,61,65,35,3,2,1
9.05,52,52,2,Medium,2,87,54,85,4,54,42,15,47,49,0,3,1
6.02,51,30,5,High,0,50,36,49,0,52,35,56,42,20,2,3,0
6.18,43,25,7,Medium,2,67,55,94,3,53,46,22,61,41,0,2,0
7.59,65,41,5,High,2,62,46,86,1,60,57,47,50,47,2,2,1
9.05,38,39,4,High,1,51,41,45,2,51,54,31,36,0,0,3,1
8.91,62,63,4,High,1,70,52,82,1,48,49,36,40,43,0,3,1
5.94,38,25,2,Medium,1,84,15,69,4,47,42,43,57,0,0,2,0
8.05,63,62,4,High,3,94,41,83,1,64,49,44,82,19,3,3,1
7.17,58,47,3,Medium,0,75,55,44,4,50,35,28,29,44,3,3,1
8.91,54,40,1,Low,1,40,42,28,0,77,65,48,31,32,0,2,1
6.76,42,31,2,High,1,36,31,57,3,49,55,27,40,0,1,2,1
7.44,53,53,6,High,3,82,66,100,1,52,55,34,75,9,3,3,1
8.19,48,43,4,Medium,2,44,43,53,2,63,49,16,40,0,2,1,0
7.84,67,86,1,Low,1,73,72,53,0,68,47,39,52,13,0,2,1
6.95,47,25,2,Medium,0,64,15,41,1,33,52,46,34,39,0,2,0
6.39,20,26,0,Low,1,85,59,43,2,33,31,22,37,0,0,2,0
7.68,51,32,1,Low,0,71,39,43,1,49,69,73,15,33,1,2,1
6.95,39,19,3,Medium,2,61,39,71,1,87,36,70,68,23,0,3,1
7.1,33,27,2,Low,1,99,62,45,1,47,45,24,22,20,3,3,0
7.58,40,35,4,High,2,76,18,85,2,51,46,22,50,44,1,2,1
10.0,71,98,3,Medium,1,71,51,32,1,72,57,67,48,38,2,1,1
7.94,73,53,3,Low,1,49,61,50,0,66,77,62,33,62,0,3,1
8.17,62,31,6,Medium,0,41,34,79,3,57,57,63,74,0,0,2,1
7.26,46,41,2,Medium,0,57,51,45,2,65,36,40,38,49,0,3,1
8.64,67,20,6,Medium,0,35,50,48,1,43,49,43,56,14,2,3,0
7.95,52,40,1,Low,1,56,44,61,2,45,33,32,36,9,2,3,1
5.61,35,29,4,Medium,0,76,48,43,1,56,33,35,18,6,0,1,0
6.98,38,43,1,Medium,1,79,59,51,2,50,47,31,39,44,0,2,0
6.08,25,37,4,High,1,55,38,63,0,30,38,44,55,0,2,2,0
7.1,47,30,4,Medium,1,100,64,74,3,34,41,16,53,15,0,2,0
5.5,44,33,4,High,0,84,37,76,2,32,27,48,46,7,0,3,0
8.68,60,35,1,Low,0,61,54,39,1,58,56,17,15,41,0,3,1
6.39,43,18,4,Medium,0,82,52,71,3,52,50,39,49,40,0,3,0
8.8,51,45,4,High,1,51,54,73,3,55,23,27,54,64,0,2,1
6.77,57,25,1,Medium,0,66,33,51,2,53,50,20,41,82,1,3,0
6.5,33,21,2,Medium,2,55,47,82,2,42,31,15,66,32,0,2,0
6.73,59,31,2,Low,2,40,30,67,2,63,64,31,44,42,0,3,1
7.64,43,43,2,Medium,0,71,71,59,2,83,56,39,27,1,0,2,1
5.6,34,55,4,High,1,61,26,91,3,38,39,21,68,58,0,1,0
7.9,39,12,0,Low,1,63,25,62,2,60,36,15,42,27,1,3,1
8.1,52,13,2,Low,1,61,40,49,1,60,49,60,50,25,0,3,1
9.09,76,56,2,Medium,0,45,61,62,2,62,72,38,55,53,1,3,1
8.06,64,50,3,High,0,90,61,62,3,63,55,57,65,25,3,2,1
6.06,58,48,2,Medium,0,66,68,63,2,51,51,30,45,0,0,3,1
5.0,46,30,0,Low,1,57,36,52,2,34,20,15,47,39,0,3,0
5.07,27,20,3,Medium,2,38,21,75,2,56,34,16,52,43,2,3,0
6.35,44,41,5,Low,1,87,39,85,3,49,20,37,52,37,0,3,0
5.42,33,43,4,Medium,2,78,35,81,2,37,26,15,47,19,0,3,0
6.26,63,19,4,Low,0,62,32,73,4,75,59,52,63,38,1,2,1
10.0,55,37,3,Low,0,38,30,54,2,63,60,30,33,36,2,1,1
5.0,50,43,2,Low,1,91,37,50,1,43,30,22,45,32,1,2,0
7.31,64,36,2,Low,0,55,55,71,2,53,57,53,57,37,0,3,1
9.29,87,91,2,Low,0,49,72,55,2,59,83,97,65,52,0,2,1
6.21,42,24,2,Medium,1,61,42,51,2,51,33,18,50,56,2,2,0
6.55,57,44,4,Medium,0,68,40,58,2,37,26,46,51,43,0,3,1
6.85,78,67,3,Low,1,58,62,80,3,56,64,50,60,48,2,2,1
5.69,36,21,3,High,0,25,26,43,1,22,20,18,31,34,1,2,0
6.96,33,10,5,High,1,66,50,62,3,34,21,40,46,32,0,3,0
5.75,21,13,3,Low,2,78,25,59,3,65,46,15,42,31,1,2,0
7.13,61,63,5,High,0,45,32,51,3,35,68,32,53,21,0,2,1
8.78,40,27,5,High,3,90,56,76,2,35,23,34,47,14,3,2,0
7.81,52,28,2,Medium,1,77,48,47,3,39,33,59,39,14,0,2,0
7.22,58,59,0,Low,2,70,60,70,2,71,50,54,69,50,0,2,1
8.21,61,42,4,High,0,43,31,65,3,34,39,19,37,50,0,3,1
7.7,61,40,3,Medium,1,67,54,55,1,42,71,41,46,11,3,3,1
5.88,47,40,2,Low,1,68,50,36,1,26,29,47,31,36,0,2,0
7.23,68,64,4,Low,2,60,31,76,2,47,48,70,47,68,0,2,1
8.87,51,76,0,Low,1,78,48,25,2,54,66,48,33,25,0,2,1
8.35,51,53,1,Low,1,55,17,51,3,50,52,32,51,36,0,1,1
9.39,57,62,2,Medium,2,57,62,94,3,84,70,73,73,48,0,3,1
9.1,74,49,2,Low,1,50,33,69,3,46,44,46,38,17,1,2,1
8.39,71,39,2,Medium,0,53,47,47,2,55,50,39,41,45,0,3,1
8.23,64,50,4,Medium,1,59,48,74,1,60,42,31,43,63,0,3,1
5.75,58,47,5,Medium,1,58,34,69,2,31,52,25,20,22,1,3,1
8.84,48,22,0,Low,1,57,63,36,2,65,63,85,47,45,2,2,1
6.24,67,49,0,Low,1,78,46,70,3,41,43,66,64,40,0,2,0
5.92,63,55,2,Low,3,89,53,56,1,49,46,34,54,24,2,1,0
8.72,71,60,3,Low,1,38,36,59,2,57,53,75,74,40,1,3,1
5.63,65,58,1,Medium,0,88,49,43,1,20,24,46,46,28,0,2,0
6.64,29,29,2,High,0,74,37,42,3,63,30,32,44,0,0,2,1
7.95,51,33,1,High,3,45,47,71,1,79,63,33,37,25,3,3,1
5.21,32,19,2,Medium,1,56,36,50,1,38,21,16,51,20,2,2,0
9.06,73,38,1,Low,2,67,45,83,6,49,57,50,74,40,0,1,1
8.62,49,66,3,Low,0,32,34,63,2,76,36,15,37,24,1,2,0
7.07,61,47,6,Medium,1,60,30,75,1,73,55,38,60,41,0,2,1
6.38,64,46,4,Medium,1,71,66,90,2,44,43,43,68,49,2,3,0
8.68,70,40,2,Medium,0,48,41,42,2,55,41,64,59,19,1,2,1
5.68,47,81,2,Medium,1,35,28,66,0,42,50,29,45,23,0,3,0
8.62,49,23,0,Low,1,65,20,64,3,38,51,52,45,0,3,3,0
7.7,46,30,2,High,1,100,47,79,2,50,31,15,44,24,1,2,1
7.16,67,58,2,High,2,49,66,76,4,71,57,66,71,43,1,2,1
8.34,69,62,0,Low,2,49,54,48,3,54,56,35,20,52,1,2,1
8.47,60,61,3,Low,2,58,59,100,3,44,26,38,36,39,1,3,1
9.51,62,75,2,Medium,2,90,58,57,1,68,39,47,56,48,0,3,1
7.12,28,32,2,High,1,32,15,44,1,42,47,33,39,18,0,2,0
5.97,32,11,3,Medium,1,75,41,73,5,44,21,22,48,5,0,2,0
6.41,71,50,1,Medium,2,53,51,44,1,31,64,33,23,20,0,3,1
6.12,31,31,7,High,1,55,44,90,1,33,20,15,37,13,0,2,0
7.84,59,77,3,Medium,0,43,41,52,3,63,61,61,42,20,0,3,1
8.75,74,35,5,High,1,57,42,72,2,60,56,42,57,42,3,3,1
5.78,29,43,1,Medium,0,44,28,71,6,34,27,23,41,7,0,3,0
6.98,54,45,4,High,1,52,38,73,1,51,69,24,57,40,0,3,1
6.99,63,61,1,Low,0,25,43,52,4,42,34,53,37,38,0,3,0
6.05,46,35,2,High,0,30,31,48,1,35,45,17,28,36,2,3,0
8.68,96,59,1,Low,3,68,51,68,2,72,81,81,70,66,0,3,1
7.26,33,39,3,Medium,2,84,50,62,1,60,79,25,39,16,1,1,1
8.02,70,63,3,Medium,2,100,54,79,4,54,43,61,59,39,0,1,1
8.05,56,58,4,Medium,1,78,47,67,0,56,42,40,44,43,3,3,1
5.59,52,41,2,Medium,2,52,35,60,1,42,53,33,36,80,1,1,1
6.3,53,33,2,Low,2,26,36,71,2,52,44,63,62,12,0,3,0
9.04,55,20,3,Medium,1,71,31,45,0,50,41,38,43,33,1,3,1
6.67,52,53,3,Low,3,35,36,68,1,58,59,38,52,7,3,2,1
